X,Y,StreamID,BasinID,Elevation,DrainageArea,XYDistanceToNextPixel,DownstreamDistance,3DDistanceToNextPixel,Slope,R2,ksn,FlowDistance_Catchment,ccID,segmentLocation,dSlopeToPrevSegment
826437.2507729037,7267439.496329106,0,5,2539.1,12519.0,4.243073504754347,118.79620311412883,4.604744592998417,0.7142147802960876,0.9996501994237306,30.307,209.22,5_0_0.0,1.0,
826434.2515438211,7267436.494946479,0,5,2535.9,12528.0,4.23505526939304,123.03125838352187,4.575553860989264,0.7144159563603025,0.9996589026220472,30.342,204.98,5_0_0.0,1.0,
826431.2525767476,7267433.504647225,0,5,2532.9,12537.0,4.243072423922151,127.27433080744403,4.539125862393387,0.7102739920853021,0.999521306912814,30.353,200.74,5_0_0.0,1.0,
826428.2533502202,7267430.503263572,0,5,2530.3,12546.0,4.243071884947379,131.5174026923914,4.561102829451566,0.7023784198531078,0.9993225391368463,30.089,196.5,5_0_0.0,1.0,
826425.2541249697,7267427.501879405,0,5,2527.5,12555.0,4.243071343914826,135.76047403630625,4.637203298277009,0.6915308021860697,0.9991047761586992,30.316,192.25,5_0_0.0,1.0,
826422.2549009973,7267424.500494726,0,5,2524.0,12564.0,4.2500676284724195,140.01054166477866,4.600334210314408,0.6782363756632678,0.9988050086746326,30.356,188.01,5_0_0.0,1.0,
826419.2455502693,7267421.4993477715,0,5,2520.9,12573.0,4.243070262016855,144.25361192679551,4.52809510152026,0.6627479706784841,0.9990423517351575,29.976,183.77,5_0_0.0,1.0,
826416.2463288554,7267418.497962065,0,5,2518.4,12582.0,4.243069721480117,148.49668164827563,4.539123336211659,0.6522211367961775,0.999267101602446,30.343,179.52,5_0_0.0,1.0,
826413.2471087207,7267415.4965758445,0,5,2515.8,12591.0,4.2430691811073835,152.739750829383,4.550124841766823,0.6476661549095575,0.9994167966041647,30.315,175.28,5_0_0.0,1.0,
826410.2478898631,7267412.495189112,0,5,2513.1,12600.0,4.235050941045342,156.97480177042834,4.531628457105564,0.6467259129216685,0.9994473842323698,30.345,171.04,5_0_0.0,1.0,
826407.2489329982,7267409.50488575,0,5,2510.5,12609.0,4.24306810102183,161.21786987145018,4.528093076550989,0.6487374609793974,0.999362950098412,30.303,166.8,5_0_0.0,1.0,
826404.2497166947,7267406.503497992,0,5,2508.0,12618.0,4.243067560486606,165.46093743193677,4.505954096842748,0.6508692828525696,0.9992207728640458,29.995,162.55,5_0_0.0,1.0,
826401.2505016704,7267403.502109719,0,5,2505.7,12627.0,4.243067021761625,169.7040044536984,4.561098305360321,0.6529797729556354,0.9990609566359344,30.139,158.31,5_0_0.0,1.0,
826398.2512879218,7267400.500720934,0,5,2502.9,12636.0,4.243066479909592,173.947070933608,4.57204693249451,0.657924092320549,0.9990200733545098,30.321,154.07,5_0_0.0,1.0,
826395.2520754524,7267397.499331636,0,5,2500.0,12645.0,4.243065939375025,178.190136872983,4.604737621828662,0.6642919881609904,0.9991810307870522,30.292,149.83,5_0_0.0,1.0,
826392.2528642612,7267394.497941826,0,5,2496.8,12654.0,4.243065398512163,182.43320227149516,4.582968904111306,0.6724092034659085,0.9992852383534738,30.024,145.58,5_0_0.0,1.0,
826389.2536543496,7267391.496551501,0,5,2493.8,12663.0,2.999457670141873,185.43265994163704,3.361063271492088,0.6777492837838431,0.9994288029868321,30.321,141.34,5_0_0.0,1.0,
826386.254199359,7267391.500560774,0,5,2491.5,13077.0,2.9994575845277267,188.43211752616477,3.3610631950888825,0.6749234991606133,0.9992244935491638,30.344,138.34,5_0_0.0,1.0,
826383.2547444531,7267391.5045694,0,5,2489.2,13455.0,2.9997238576730343,191.43184138383782,3.3314175995051567,0.662604732682304,0.9980440399553299,30.316,135.34,5_0_0.0,1.0,
826380.255028941,7267391.497493494,0,5,2487.1,14112.0,4.25006131605702,195.68190269989483,4.534646754736727,0.6450975186634836,0.9964300211817725,29.955,132.34,5_0_0.0,1.0,
826377.2456945034,7267388.496339144,0,5,2484.6,14121.0,4.243063980624238,199.92496668051908,4.539117969790024,0.6180120854914696,0.9943796478445588,30.31,128.1,5_0_0.0,1.0,
826374.2464893528,7267385.494946066,0,5,2482.0,14130.0,4.235045732684306,204.1600124132034,4.608211405515998,0.5890996337303266,0.9928313785761587,30.342,123.85,5_0_0.0,1.0,
