ccID,ccLength,ccMeanSlope,ccStdSlope,minDrainageArea,maxDrainageArea,segmentLocation,slopeChangeToPrevCC
20_2_2.0,432.6270901994145,0.3345010243898739,0.11853005210882354,119710.0,1657200.0,2.0,0.02480079462302953
20_30_0.0,253.55434446929092,0.5550551409361631,0.0722362921217887,9882.0,260450.0,1.0,
20_31_0.0,98.88381941097832,0.5342416294440183,0.09011889753070924,10584.0,11160.0,1.0,
20_31_1.0,84.66514668031787,0.2319573897038816,0.07698938464179113,11169.0,22977.0,2.0,0.30228423974013674
20_31_2.0,197.93285335364098,0.5571631537969527,0.08729910615125093,22986.0,45927.0,2.0,-0.3252057640930711
20_31_3.0,221.8947535335864,0.3858366272289727,0.1000577995579886,46215.0,2654100.0,2.0,0.1713265265679801
20_32_0.0,293.68427990003966,0.4615574066380517,0.10048176777470734,10773.0,2071000.0,1.0,
20_33_0.0,38.476163109147855,0.7167931726796205,0.1126020045929612,9270.0,12528.0,1.0,
20_33_1.0,238.8475298436399,0.3039216323310876,0.0734278514720485,12546.0,290410.0,2.0,0.4128715403485329
20_34_0.0,134.37220394631032,0.6371984774983754,0.08217900925164763,9117.0,14796.0,1.0,
20_34_1.0,128.62894569132376,0.4047356673392741,0.1716931563932296,14805.0,2073500.0,2.0,0.2671048606295587
20_35_0.0,53.43261589938776,0.2026585576623305,0.09501444146107432,9423.0,22968.0,1.0,
20_36_0.0,181.75846148013008,0.4503149115445281,0.1100768401038192,9009.0,371890.0,1.0,
20_36_1.0,54.78450667311915,0.7630880826444685,0.08456870413437262,372200.0,383080.0,2.0,-0.3127731710999404
20_36_2.0,162.81287303453524,0.3652044881433247,0.09256491637286296,383120.0,421840.0,2.0,0.3978835945011437
20_36_3.0,799.1208777162262,0.2165596316489385,0.11562826400584016,421850.0,3909100.0,2.0,0.15391112169496726
20_37_0.0,117.56177691601351,0.44203862337999017,0.1419464880846798,12249.0,2072700.0,1.0,
20_38_0.0,69.15298188790246,0.4650841309150093,0.0954227982218505,11088.0,13014.0,1.0,
20_38_1.0,54.2249921574164,0.7478242142803743,0.08027897028980309,13023.0,13311.0,2.0,-0.2827400833653651
20_38_2.0,1026.5439280362743,0.1386070412182156,0.05882254515543279,13491.0,3909000.0,2.0,0.6092171730621586
20_39_0.0,42.51118841026098,0.4690261178229121,0.12406210719522,13122.0,2005500.0,1.0,
20_3_0.0,337.0142638880463,0.6055718892893439,0.05687288779008155,10233.0,114800.0,1.0,
20_40_0.0,58.34217116651251,0.5881091408823035,0.08107009206619274,10764.0,31131.0,1.0,
20_41_0.0,44.29734874529034,0.3356320944098519,0.0990135218001313,13824.0,335050.0,1.0,
20_42_0.0,279.2296495842712,0.6424425974997731,0.1101069946267228,11367.0,340280.0,1.0,
20_43_0.0,296.93625857311287,0.3977771623505933,0.09097865979959956,12087.0,2654100.0,1.0,
20_44_0.0,186.24197408128245,0.4059493292588734,0.1370380941608694,9027.0,421840.0,1.0,
20_45_0.0,77.53673664135202,0.2923975232990492,0.08178408167427306,9198.0,10584.0,1.0,
20_45_1.0,225.38589021550612,0.5834505478364737,0.10030458150860316,10593.0,161350.0,2.0,-0.29105302453742443
20_45_2.0,610.0965118129521,0.1561137987536937,0.08840350666901045,161560.0,3909000.0,2.0,0.42733674908278
20_46_0.0,153.76277916154078,0.6863566638486768,0.09360174915199752,13464.0,56331.0,1.0,
20_46_1.0,759.3088278279394,0.2177390981909257,0.1159988611963582,56457.0,3909100.0,2.0,0.4660908367983722
20_47_0.0,46.444888414700145,0.11878080738469544,0.09928601561877068,10458.0,12528.0,1.0,
20_47_1.0,78.04598347206138,0.8403137178251059,0.2570987249788813,12591.0,436590.0,2.0,-0.622284989310423
20_48_0.0,97.53576586010472,0.8975103799539087,0.06564515907336188,9009.0,22329.0,1.0,
20_48_1.0,685.9025101917541,0.1370920459690157,0.0748205317425941,22644.0,3909000.0,2.0,0.7601076655782573
20_49_0.0,264.53120986081586,0.4741479535307933,0.13369719787257886,9045.0,166720.0,1.0,
20_4_0.0,291.47652938876774,0.5856456099082064,0.07732236917910043,9126.0,114820.0,1.0,
20_50_0.0,254.644028569119,0.4558024503654642,0.12226649074572367,12096.0,166720.0,1.0,
20_51_0.0,48.180484800976544,0.8916792978573586,0.07899733988274696,9171.0,11754.0,1.0,
20_51_1.0,680.1107577347938,0.2056170238582714,0.11051428277476713,11943.0,3909100.0,2.0,0.6860622739990871
20_52_0.0,197.0198478327671,0.4069491428282172,0.10646176519186223,9198.0,2901600.0,1.0,
20_53_0.0,180.4308894783128,0.5157190329413275,0.09325090133048697,16740.0,264480.0,1.0,
20_53_1.0,461.0892529413052,0.15909347527739964,0.06456133897649424,265580.0,3909000.0,2.0,0.35662555766392795
20_54_0.0,217.96394174017644,0.6703774335233044,0.09128516334648948,9729.0,30501.0,1.0,
20_55_0.0,129.27704213613458,0.3546035257295676,0.08530079186412194,9162.0,16686.0,1.0,
20_55_1.0,445.15981582322433,0.7281466128610667,0.12472078456553827,16695.0,3979400.0,2.0,-0.3694918311528557
20_56_0.0,465.2461512916903,0.1198594507369492,0.042508952376385294,9891.0,3909000.0,1.0,
20_57_0.0,82.13481280224441,0.5730820358311827,0.0685361457421353,9000.0,14598.0,1.0,
20_57_1.0,388.7455518676389,0.12502190435500146,0.05217774529771752,14607.0,3909000.0,2.0,0.4480601314761812
20_58_0.0,80.09357761413742,0.6615153566396477,0.08506392174364022,9000.0,15822.0,1.0,
20_58_1.0,356.7997859149217,0.14901316725065078,0.0722758613849571,15831.0,3909000.0,2.0,0.5125021893889969
20_59_0.0,404.58409932768575,0.556481662468094,0.08085428461827646,12375.0,78471.0,1.0,
20_59_1.0,527.4982168267129,0.5939987713972362,0.11902283511321292,78480.0,159980.0,2.0,-0.037517108929142166
20_59_2.0,56.380724847266215,0.9953880307716638,0.1183742645743524,160280.0,160870.0,2.0,-0.4013892593744275
20_59_3.0,320.9626669415612,0.16566604377454547,0.11011882272646592,161010.0,4471700.0,2.0,0.8426956765154787
20_5_0.0,252.94093681658174,0.5910395097800722,0.06657983133267882,9009.0,114820.0,1.0,
20_60_0.0,134.3147177582643,0.4412722378910153,0.06459230494462656,12996.0,24390.0,1.0,
20_60_1.0,87.66083113210483,0.7879499236297869,0.08919906002056177,24453.0,28800.0,2.0,-0.3466776857387713
20_60_2.0,62.15297911654136,0.6220723521222883,0.10832388849356596,29745.0,30546.0,2.0,0.16587757150749827
20_60_3.0,126.77957974567431,0.941383218600118,0.10948631930975553,30555.0,30789.0,2.0,-0.31931086647782936
20_60_4.0,662.2145646515779,0.5454261032202585,0.11603506114201725,30798.0,446000.0,2.0,0.4015683275934088
20_60_5.0,82.91146170699224,0.33848668467683635,0.08099824183129016,451650.0,462180.0,2.0,0.2013282063298727
20_60_6.0,73.86196867649164,0.5819438722120966,0.05226589653407892,462200.0,4975000.0,2.0,-0.24345718753526024
20_61_0.0,173.64231798346137,0.6636959532591066,0.1270013275516875,10881.0,68697.0,1.0,
20_62_0.0,119.04612671546231,0.7175778409035043,0.0736469071692851,12618.0,19548.0,1.0,
20_62_1.0,72.26439774356898,1.0409665150024787,0.07923294922322771,19683.0,36486.0,2.0,-0.3233886740989742
20_62_2.0,833.0881511324112,0.561686101148634,0.12546331082992002,36495.0,445160.0,2.0,0.4792804138538448
20_63_0.0,246.41667951407533,0.840175304727211,0.0982802004010602,9972.0,55620.0,1.0,
20_63_1.0,742.9965979520102,0.5454327425713636,0.1075781945870263,55683.0,446000.0,2.0,0.2995845901705633
20_64_0.0,85.0893971116469,0.7310276498274216,0.09245869294093292,9036.0,13959.0,1.0,
20_64_1.0,68.2069717096375,1.019365032552788,0.0947354015624308,13968.0,36495.0,2.0,-0.288337382725366
20_65_0.0,97.31479720706972,0.7126918492568529,0.08088529050194164,9738.0,13653.0,1.0,
20_65_1.0,79.47390944266688,0.9633432192322048,0.06251161121618505,13725.0,14454.0,2.0,-0.25065136997535176
20_65_2.0,171.01001850622674,0.4577132907761744,0.08649023922858283,14463.0,19152.0,2.0,0.5056299284560304
20_65_3.0,272.5390656574501,0.7069536837625844,0.10472583900824804,19161.0,108040.0,2.0,-0.2492403929864101
20_65_4.0,302.45078237065917,0.4775221316774322,0.09124336044716852,108060.0,178600.0,2.0,0.22943155208515226
20_65_5.0,50.65537535598194,0.6441757537655637,0.10268624188104404,178730.0,442930.0,2.0,-0.16665362208813167
20_66_0.0,489.40698428101774,0.6712965956059211,0.12351525995462635,11970.0,191710.0,1.0,
20_67_0.0,177.6976320820455,0.7668202687092384,0.12088305627463272,9279.0,14004.0,1.0,
20_67_1.0,158.97525170530812,0.5262067343110824,0.07128162658565013,14013.0,33516.0,2.0,0.2406135343981559
20_67_2.0,250.33391352063282,0.7343728800355187,0.11816765555391165,33525.0,107590.0,2.0,-0.20816614572443612
20_68_0.0,49.7756152780269,0.8224877683546788,0.08615348030654672,9891.0,66303.0,1.0,
20_69_0.0,87.85158753490869,0.7319057563474051,0.10119095540014937,9603.0,29016.0,1.0,
20_69_1.0,86.97619985941174,1.0516528615657943,0.06723507331231034,29160.0,34884.0,2.0,-0.3197471052183897
20_69_2.0,43.36335121635736,1.369111814110432,0.17353456638001186,35478.0,38916.0,2.0,-0.3174589525446374
20_69_3.0,32.97602305769021,0.2991116910104198,0.2996652241362722,38925.0,42912.0,2.0,1.0700001231000122
20_69_4.0,659.1058482184166,0.15872373858775707,0.09071408415396924,43128.0,4471700.0,2.0,0.1455630537471162
20_6_0.0,51.967140729967745,0.7273603476250234,0.1061397630680936,9792.0,242080.0,1.0,
20_70_0.0,513.9596186880194,0.6100505921816121,0.11558713173851602,9162.0,160280.0,1.0,
20_71_0.0,211.8520704410947,0.8480317364553235,0.08229422017802078,9738.0,36036.0,1.0,
20_71_1.0,36.1498736976146,1.0109365282833012,0.20860446143614805,36252.0,36342.0,2.0,-0.16290479182797768
20_72_0.0,64.50656609972452,0.4442598862959247,0.06441606356075834,9531.0,33507.0,1.0,
20_73_0.0,188.1798914124365,0.9422326538610676,0.07911957272358691,9189.0,22239.0,1.0,
20_74_0.0,604.9506495067147,0.5643414309208657,0.08533313997615644,9306.0,156370.0,1.0,
20_74_1.0,37.36127004905397,0.3696867487836762,0.08405918658693434,156470.0,158360.0,2.0,0.1946546821371896
20_74_2.0,276.5993928439629,0.5456744820407449,0.12550682044698894,158370.0,227840.0,2.0,-0.18346982159583344
20_74_3.0,40.369273572003216,1.0271538099819733,0.12674526088118604,227840.0,228060.0,2.0,-0.4739972396024639
20_75_0.0,702.5186422222589,0.16142165420330806,0.0955070800338138,15264.0,4471700.0,1.0,
20_76_0.0,263.59319114310847,0.7437230920883026,0.12057890727782458,10215.0,107430.0,1.0,
20_77_0.0,330.8195516280772,0.6171198453836774,0.11460473280619245,9459.0,160280.0,1.0,
20_78_0.0,329.6742856265405,0.6963774540732042,0.10284849129226067,9036.0,160390.0,1.0,
20_79_0.0,50.52879430804875,0.7580859596376693,0.06274727419132516,11313.0,35973.0,1.0,
20_7_0.0,350.3282626144547,0.7274618773361397,0.085548482227521,11142.0,34821.0,1.0,
20_80_0.0,482.46446066906753,0.5322037912016616,0.13411180492454336,13077.0,446000.0,1.0,
20_81_0.0,101.3069873591652,0.7244912335865601,0.0700508270141137,10377.0,17784.0,1.0,
20_81_1.0,41.650400926118344,0.9968968872518792,0.12280808602779175,17793.0,18594.0,2.0,-0.2724056536653192
